data,extract2,extract1,extract
0101,4:00pm - 4:50pm,CSI  2117,CMSC100
Charles Kassir,4:00pm - 4:50pm,CSI  2117,CMSC100
(Total: 45, Open: 4, Waitlist: 0),4:00pm - 4:50pm,CSI  2117,CMSC100
M ,4:00pm - 4:50pm,CSI  2117,CMSC100
0101,9:30am - 10:45am,CSI  2117,CMSC106
Jianwu Wang,9:30am - 10:45am,CSI  2117,CMSC106
(Total: 45, Open: 0, Waitlist: 5),9:30am - 10:45am,CSI  2117,CMSC106
TuTh ,9:30am - 10:45am,CSI  2117,CMSC106
0101,2:00pm - 2:50pm,CSI  1115,CMSC131
Evan Golub ,2:00pm - 2:50pm,CSI  1115,CMSC131
(Total: 31, Open: 0, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
MWF ,2:00pm - 2:50pm,CSI  1115,CMSC131
0102,2:00pm - 2:50pm,CSI  1115,CMSC131
Evan Golub ,2:00pm - 2:50pm,CSI  1115,CMSC131
(Total: 31, Open: 0, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
MWF ,2:00pm - 2:50pm,CSI  1115,CMSC131
0103,2:00pm - 2:50pm,CSI  1115,CMSC131
Evan Golub ,2:00pm - 2:50pm,CSI  1115,CMSC131
(Total: 31, Open: 1, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
MWF ,2:00pm - 2:50pm,CSI  1115,CMSC131
0104,2:00pm - 2:50pm,CSI  1115,CMSC131
Evan Golub ,2:00pm - 2:50pm,CSI  1115,CMSC131
(Total: 31, Open: 1, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
MWF ,2:00pm - 2:50pm,CSI  1115,CMSC131
0201,3:00pm - 3:50pm,CSI  1115,CMSC131
Evan Golub ,3:00pm - 3:50pm,CSI  1115,CMSC131
(Total: 31, Open: 1, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
MWF ,3:00pm - 3:50pm,CSI  1115,CMSC131
0202,3:00pm - 3:50pm,CSI  1115,CMSC131
Evan Golub ,3:00pm - 3:50pm,CSI  1115,CMSC131
(Total: 31, Open: 1, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
MWF ,3:00pm - 3:50pm,CSI  1115,CMSC131
0203,3:00pm - 3:50pm,CSI  1115,CMSC131
Evan Golub ,3:00pm - 3:50pm,CSI  1115,CMSC131
(Total: 31, Open: 0, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
MWF ,3:00pm - 3:50pm,CSI  1115,CMSC131
0204,3:00pm - 3:50pm,CSI  1115,CMSC131
Evan Golub ,3:00pm - 3:50pm,CSI  1115,CMSC131
(Total: 31, Open: 0, Waitlist: 1),3:00pm - 3:50pm,CSI  1115,CMSC131
MWF ,3:00pm - 3:50pm,CSI  1115,CMSC131
0301,11:00am - 11:50am,CSI  1115,CMSC131
Thomas Reinhardt,11:00am - 11:50am,CSI  1115,CMSC131
(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
MWF ,11:00am - 11:50am,CSI  1115,CMSC131
0302,11:00am - 11:50am,CSI  1115,CMSC131
Thomas Reinhardt,11:00am - 11:50am,CSI  1115,CMSC131
(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
MWF ,11:00am - 11:50am,CSI  1115,CMSC131
0303,11:00am - 11:50am,CSI  1115,CMSC131
Thomas Reinhardt,11:00am - 11:50am,CSI  1115,CMSC131
(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
MWF ,11:00am - 11:50am,CSI  1115,CMSC131
0304,11:00am - 11:50am,CSI  1115,CMSC131
Thomas Reinhardt,11:00am - 11:50am,CSI  1115,CMSC131
(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
MWF ,11:00am - 11:50am,CSI  1115,CMSC131
0401,12:00pm - 12:50pm,CSI  1115,CMSC131
Thomas Reinhardt,12:00pm - 12:50pm,CSI  1115,CMSC131
(Total: 31, Open: 0, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
MWF ,12:00pm - 12:50pm,CSI  1115,CMSC131
0402,12:00pm - 12:50pm,CSI  1115,CMSC131
Thomas Reinhardt,12:00pm - 12:50pm,CSI  1115,CMSC131
(Total: 31, Open: 7, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
MWF ,12:00pm - 12:50pm,CSI  1115,CMSC131
0403,12:00pm - 12:50pm,CSI  1115,CMSC131
Thomas Reinhardt,12:00pm - 12:50pm,CSI  1115,CMSC131
(Total: 31, Open: 0, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
MWF ,12:00pm - 12:50pm,CSI  1115,CMSC131
0404,12:00pm - 12:50pm,CSI  1115,CMSC131
Thomas Reinhardt,12:00pm - 12:50pm,CSI  1115,CMSC131
(Total: 31, Open: 7, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
MWF ,12:00pm - 12:50pm,CSI  1115,CMSC131
0101,10:00am - 10:50am,CSI  1115,CMSC132
Laurence Herman ,10:00am - 10:50am,CSI  1115,CMSC132
(Total: 34, Open: 0, Waitlist: 2),10:00am - 10:50am,CSI  1115,CMSC132
MWF ,10:00am - 10:50am,CSI  1115,CMSC132
0102,10:00am - 10:50am,CSI  1115,CMSC132
Laurence Herman ,10:00am - 10:50am,CSI  1115,CMSC132
(Total: 34, Open: 0, Waitlist: 0),10:00am - 10:50am,CSI  1115,CMSC132
MWF ,10:00am - 10:50am,CSI  1115,CMSC132
0103,10:00am - 10:50am,CSI  1115,CMSC132
Laurence Herman ,10:00am - 10:50am,CSI  1115,CMSC132
(Total: 34, Open: 0, Waitlist: 0),10:00am - 10:50am,CSI  1115,CMSC132
MWF ,10:00am - 10:50am,CSI  1115,CMSC132
0104,10:00am - 10:50am,CSI  1115,CMSC132
Laurence Herman ,10:00am - 10:50am,CSI  1115,CMSC132
(Total: 34, Open: 0, Waitlist: 2),10:00am - 10:50am,CSI  1115,CMSC132
MWF ,10:00am - 10:50am,CSI  1115,CMSC132
0201,1:00pm - 1:50pm,CSI  1115,CMSC132
Laurence Herman ,1:00pm - 1:50pm,CSI  1115,CMSC132
(Total: 34, Open: 6, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,1:00pm - 1:50pm,CSI  1115,CMSC132
0202,1:00pm - 1:50pm,CSI  1115,CMSC132
Laurence Herman ,1:00pm - 1:50pm,CSI  1115,CMSC132
(Total: 34, Open: 1, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,1:00pm - 1:50pm,CSI  1115,CMSC132
0203,1:00pm - 1:50pm,CSI  1115,CMSC132
Laurence Herman ,1:00pm - 1:50pm,CSI  1115,CMSC132
(Total: 34, Open: 0, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,1:00pm - 1:50pm,CSI  1115,CMSC132
0204,1:00pm - 1:50pm,CSI  1115,CMSC132
Laurence Herman ,1:00pm - 1:50pm,CSI  1115,CMSC132
(Total: 34, Open: 0, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,1:00pm - 1:50pm,CSI  1115,CMSC132
0301,2:00pm - 2:50pm,CSI  2117,CMSC132
Laurence Herman ,2:00pm - 2:50pm,CSI  2117,CMSC132
(Total: 30, Open: 3, Waitlist: 0),2:00pm - 2:50pm,CSI  2117,CMSC132
MWF ,2:00pm - 2:50pm,CSI  2117,CMSC132
