split,split1,split2,split3,split4,split5,split6,split7
CMSC100,0101,Charles Kassir,,,,M 4:00pm - 4:50pm,CSI  2117
CMSC100,0101,,45,4,0,M 4:00pm - 4:50pm,CSI  2117
CMSC106,0101,Jianwu Wang,,,,TuTh 9:30am - 10:45am,CSI  2117
CMSC106,0101,,45,0,5,TuTh 9:30am - 10:45am,CSI  2117
CMSC131,0101,Evan Golub,,,,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0101,,31,0,0,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0102,Evan Golub,,,,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0102,,31,0,0,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0103,Evan Golub,,,,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0103,,31,1,0,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0104,Evan Golub,,,,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0104,,31,1,0,MWF 2:00pm - 2:50pm,CSI  1115
CMSC131,0201,Evan Golub,,,,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0201,,31,1,0,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0202,Evan Golub,,,,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0202,,31,1,0,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0203,Evan Golub,,,,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0203,,31,0,0,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0204,Evan Golub,,,,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0204,,31,0,1,MWF 3:00pm - 3:50pm,CSI  1115
CMSC131,0301,Thomas Reinhardt,,,,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0301,,31,0,0,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0302,Thomas Reinhardt,,,,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0302,,31,0,0,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0303,Thomas Reinhardt,,,,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0303,,31,0,0,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0304,Thomas Reinhardt,,,,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0304,,31,0,0,MWF 11:00am - 11:50am,CSI  1115
CMSC131,0401,Thomas Reinhardt,,,,MWF 12:00pm - 12:50pm,CSI  1115
CMSC131,0401,,31,0,0,MWF 12:00pm - 12:50pm,CSI  1115
CMSC131,0402,Thomas Reinhardt,,,,MWF 12:00pm - 12:50pm,CSI  1115
CMSC131,0402,,31,7,0,MWF 12:00pm - 12:50pm,CSI  1115
CMSC131,0403,Thomas Reinhardt,,,,MWF 12:00pm - 12:50pm,CSI  1115
CMSC131,0403,,31,0,0,MWF 12:00pm - 12:50pm,CSI  1115
CMSC131,0404,Thomas Reinhardt,,,,MWF 12:00pm - 12:50pm,CSI  1115
CMSC131,0404,,31,7,0,MWF 12:00pm - 12:50pm,CSI  1115
CMSC132,0101,Laurence Herman,,,,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0101,,34,0,2,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0102,Laurence Herman,,,,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0102,,34,0,0,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0103,Laurence Herman,,,,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0103,,34,0,0,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0104,Laurence Herman,,,,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0104,,34,0,2,MWF 10:00am - 10:50am,CSI  1115
CMSC132,0201,Laurence Herman,,,,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0201,,34,6,0,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0202,Laurence Herman,,,,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0202,,34,1,0,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0203,Laurence Herman,,,,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0203,,34,0,0,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0204,Laurence Herman,,,,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0204,,34,0,0,MWF 1:00pm - 1:50pm,CSI  1115
CMSC132,0301,Laurence Herman,,,,MWF 2:00pm - 2:50pm,CSI  2117
CMSC132,0301,,30,3,0,MWF 2:00pm - 2:50pm,CSI  2117
CMSC132,0302,Laurence Herman,,,,MWF 2:00pm - 2:50pm,CSI  2117
CMSC132,0302,,29,0,1,MWF 2:00pm - 2:50pm,CSI  2117
CMSC132,0303,Laurence Herman,,,,MWF 2:00pm - 2:50pm,CSI  2117
CMSC132,0303,,29,8,0,MWF 2:00pm - 2:50pm,CSI  2117
