data,extract3,extract2,extract1,extract
0101,(Total: 45, Open: 4, Waitlist: 0),4:00pm - 4:50pm,CSI  2117,CMSC100
Charles Kassir,(Total: 45, Open: 4, Waitlist: 0),4:00pm - 4:50pm,CSI  2117,CMSC100
M ,(Total: 45, Open: 0, Waitlist: 5),4:00pm - 4:50pm,CSI  2117,CMSC100
0101,(Total: 45, Open: 0, Waitlist: 5),9:30am - 10:45am,CSI  2117,CMSC106
Jianwu Wang,(Total: 45, Open: 0, Waitlist: 5),9:30am - 10:45am,CSI  2117,CMSC106
TuTh ,(Total: 31, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  2117,CMSC106
0101,(Total: 31, Open: 0, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
Evan Golub ,(Total: 31, Open: 0, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 0, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
0102,(Total: 31, Open: 0, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
Evan Golub ,(Total: 31, Open: 0, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 1, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
0103,(Total: 31, Open: 1, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
Evan Golub ,(Total: 31, Open: 1, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 1, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
0104,(Total: 31, Open: 1, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
Evan Golub ,(Total: 31, Open: 1, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 1, Waitlist: 0),2:00pm - 2:50pm,CSI  1115,CMSC131
0201,(Total: 31, Open: 1, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
Evan Golub ,(Total: 31, Open: 1, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 1, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
0202,(Total: 31, Open: 1, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
Evan Golub ,(Total: 31, Open: 1, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 0, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
0203,(Total: 31, Open: 0, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
Evan Golub ,(Total: 31, Open: 0, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 0, Waitlist: 1),3:00pm - 3:50pm,CSI  1115,CMSC131
0204,(Total: 31, Open: 0, Waitlist: 1),3:00pm - 3:50pm,CSI  1115,CMSC131
Evan Golub ,(Total: 31, Open: 0, Waitlist: 1),3:00pm - 3:50pm,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 0, Waitlist: 0),3:00pm - 3:50pm,CSI  1115,CMSC131
0301,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
Thomas Reinhardt,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
0302,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
Thomas Reinhardt,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
0303,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
Thomas Reinhardt,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
0304,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
Thomas Reinhardt,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  1115,CMSC131
0401,(Total: 31, Open: 0, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
Thomas Reinhardt,(Total: 31, Open: 0, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 7, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
0402,(Total: 31, Open: 7, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
Thomas Reinhardt,(Total: 31, Open: 7, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 0, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
0403,(Total: 31, Open: 0, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
Thomas Reinhardt,(Total: 31, Open: 0, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
MWF ,(Total: 31, Open: 7, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
0404,(Total: 31, Open: 7, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
Thomas Reinhardt,(Total: 31, Open: 7, Waitlist: 0),12:00pm - 12:50pm,CSI  1115,CMSC131
MWF ,(Total: 34, Open: 0, Waitlist: 2),12:00pm - 12:50pm,CSI  1115,CMSC131
0101,(Total: 34, Open: 0, Waitlist: 2),10:00am - 10:50am,CSI  1115,CMSC132
Laurence Herman ,(Total: 34, Open: 0, Waitlist: 2),10:00am - 10:50am,CSI  1115,CMSC132
MWF ,(Total: 34, Open: 0, Waitlist: 0),10:00am - 10:50am,CSI  1115,CMSC132
0102,(Total: 34, Open: 0, Waitlist: 0),10:00am - 10:50am,CSI  1115,CMSC132
Laurence Herman ,(Total: 34, Open: 0, Waitlist: 0),10:00am - 10:50am,CSI  1115,CMSC132
MWF ,(Total: 34, Open: 0, Waitlist: 0),10:00am - 10:50am,CSI  1115,CMSC132
0103,(Total: 34, Open: 0, Waitlist: 0),10:00am - 10:50am,CSI  1115,CMSC132
Laurence Herman ,(Total: 34, Open: 0, Waitlist: 0),10:00am - 10:50am,CSI  1115,CMSC132
MWF ,(Total: 34, Open: 0, Waitlist: 2),10:00am - 10:50am,CSI  1115,CMSC132
0104,(Total: 34, Open: 0, Waitlist: 2),10:00am - 10:50am,CSI  1115,CMSC132
Laurence Herman ,(Total: 34, Open: 0, Waitlist: 2),10:00am - 10:50am,CSI  1115,CMSC132
MWF ,(Total: 34, Open: 6, Waitlist: 0),10:00am - 10:50am,CSI  1115,CMSC132
0201,(Total: 34, Open: 6, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
Laurence Herman ,(Total: 34, Open: 6, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,(Total: 34, Open: 1, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
0202,(Total: 34, Open: 1, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
Laurence Herman ,(Total: 34, Open: 1, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,(Total: 34, Open: 0, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
0203,(Total: 34, Open: 0, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
Laurence Herman ,(Total: 34, Open: 0, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,(Total: 34, Open: 0, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
0204,(Total: 34, Open: 0, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
Laurence Herman ,(Total: 34, Open: 0, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
MWF ,(Total: 30, Open: 3, Waitlist: 0),1:00pm - 1:50pm,CSI  1115,CMSC132
