split,split1,split2,split3,split4,split5,split6
BRA,5,1958,1962, 1970,1994,2002
BRA,2  ,1950,1998,,,
BRA,2  ,1938, 1978 ,,,
BRA,2  ,1974, 2014 ,,,
GER,4,1954,1974, 1990,2014,
GER,4  ,1966, 1982 ,1986,2002,
GER,4  ,1934, 1970,2006, 2010,
GER,1  ,1958,,,,
ITA,4,1934,1938,1982, 2006,
ITA,2  ,1970, 1994 ,,,
ITA,1  ,1990,,,,
ITA,1  ,1978,,,,
ARG,2,1978,1986,, ,
ARG,3  ,1930, 1990 ,2014, ,
ARG,0,,,,,
ARG,0,,,,,
URU,2,1930,1950,, ,
URU,0,,,,,
URU,0,,,,,
URU,3  ,1954, 1970 ,2010,,
FRA,1,1998,,,,
FRA,1  ,2006,,,,
FRA,2  ,1958, 1986 ,,,
FRA,1  ,1982,,,,
ENG,1,1966,,,,
ENG,0,,,,,
ENG,0,,,,,
ENG,1  ,1990,,,,
ESP,1,2010,,,,
ESP,0,,,,,
ESP,0,,,,,
ESP,1  ,1950,,,,
NED,0,,,,,
NED,3  ,1974, 1978 ,2010, ,
NED,1  ,2014,,,,
NED,1  ,1998,,,,
TCH,0,,,,,
TCH,2  ,1934, 1962 ,,,
TCH,0,,,,,
TCH,0,,,,,
HUN,0,,,,,
HUN,2  ,1938, 1954 ,,,
HUN,0,,,,,
HUN,0,,,,,
SWE,0,,,,,
SWE,1  ,1958,,,,
SWE,2  ,1950, 1994 ,,,
SWE,1  ,1938,,,,
POL,0,,,,,
POL,0,,,,,
POL,2  ,1974, 1982 ,,,
POL,0,,,,,
AUT,0,,,,,
AUT,0,,,,,
AUT,1  ,1954,,,,
AUT,1  ,1934,,,,
POR,0,,,,,
POR,0,,,,,
POR,1  ,1966,,,,
POR,1  ,2006,,,,
USA,0,,,,,
USA,0,,,,,
USA,1  ,1930,,,,
USA,0,,,,,
CHI,0,,,,,
CHI,0,,,,,
CHI,1  ,1962,,,,
CHI,0,,,,,
CRO,0,,,,,
CRO,0,,,,,
CRO,1  ,1998,,,,
CRO,0,,,,,
TUR,0,,,,,
TUR,0,,,,,
TUR,1  ,2002,,,,
TUR,0,,,,,
YUG,0,,,,,
YUG,0,,,,,
YUG,0,,,,,
YUG,2  ,1930, 1962 ,,,
URS,0,,,,,
URS,0,,,,,
URS,0,,,,,
URS,1  ,1966,,,,
BEL,0,,,,,
BEL,0,,,,,
BEL,0,,,,,
BEL,1  ,1986,,,,
BUL,0,,,,,
BUL,0,,,,,
BUL,0,,,,,
BUL,1  ,1994,,,,
KOR,0,,,,,
KOR,0,,,,,
KOR,0,,,,,
KOR,1  ,2002,,,,
